,Unid. da Federação,Renda per capita,Tem telefone móvel celular,Para acessar à Internet utiliza-se telefone celular,Tem microcomputador,Para acessar à Internet utiliza-se microcomputador,Tem tablet,Para acessar à Internet utiliza-se tablet,Tem acesso à Internet no próprio domicilio,O acesso à Internet é feito através de sinal de rede celular 3G ou 4G,O acesso à Internet é feito através de conexão discada por linha telefônica,O acesso à Internet é feito por banda larga
65285,MG,859.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65287,MG,862.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65288,MG,249.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65292,MG,3894.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65293,MG,17650.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65294,MG,1644.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65296,MG,2550.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65297,MG,5000.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65298,MG,1364.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65300,MG,4800.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65303,MG,2450.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65308,MG,725.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65309,MG,762.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não
65311,MG,302.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65312,MG,1925.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65313,MG,794.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65314,MG,694.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65315,MG,3550.0,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim
65316,MG,1007.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não
65322,MG,800.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65324,MG,337.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Não
65326,MG,815.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65327,MG,1062.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65328,MG,1125.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65329,MG,685.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65330,MG,875.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65331,MG,666.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65334,MG,1296.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65335,MG,1300.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65336,MG,290.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65337,MG,2625.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65338,MG,1754.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65340,MG,600.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
65341,MG,227.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65343,MG,1709.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não
65344,MG,3360.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
65345,MG,702.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65349,MG,1081.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65350,MG,442.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65353,MG,2233.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
65356,MG,1469.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65357,MG,787.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65358,MG,1766.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65359,MG,2226.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65360,MG,1150.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65361,MG,788.0,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim
65362,MG,1200.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65368,MG,1044.0,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim
65369,MG,846.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim
65371,MG,1390.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
65373,MG,3896.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65376,MG,907.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65377,MG,3676.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65378,MG,516.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65382,MG,4866.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65385,MG,83.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65386,MG,1333.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
